customer_id,favorite_food,average_order_value,coupon_sensitivity,discount,conversion_probability,accepted
1,Burgers,211.0,0.37,20,0.5857,0
1,Burgers,211.0,0.37,30,0.6969,1
1,Burgers,211.0,0.37,20,0.5857,0
1,Burgers,211.0,0.37,10,0.452,0
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,30,0.6969,0
1,Burgers,211.0,0.37,10,0.452,1
1,Burgers,211.0,0.37,10,0.452,1
1,Burgers,211.0,0.37,40,0.7956,0
1,Burgers,211.0,0.37,30,0.6969,0
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,0,0.217,0
1,Burgers,211.0,0.37,30,0.6969,1
1,Burgers,211.0,0.37,30,0.6969,1
1,Burgers,211.0,0.37,10,0.452,0
1,Burgers,211.0,0.37,40,0.7956,1
1,Burgers,211.0,0.37,0,0.217,0
1,Burgers,211.0,0.37,10,0.452,0
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,40,0.7956,1
1,Burgers,211.0,0.37,20,0.5857,1
1,Burgers,211.0,0.37,20,0.5857,0
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,50,0.8859,1
1,Burgers,211.0,0.37,20,0.5857,1
1,Burgers,211.0,0.37,10,0.452,1
1,Burgers,211.0,0.37,0,0.217,0
1,Burgers,211.0,0.37,20,0.5857,1
1,Burgers,211.0,0.37,20,0.5857,1
2,Burgers,350.0,0.59,0,0.239,0
2,Burgers,350.0,0.59,0,0.239,0
2,Burgers,350.0,0.59,20,0.6182,1
2,Burgers,350.0,0.59,20,0.6182,1
2,Burgers,350.0,0.59,30,0.7325,0
2,Burgers,350.0,0.59,50,0.9,1
2,Burgers,350.0,0.59,50,0.9,1
2,Burgers,350.0,0.59,0,0.239,1
2,Burgers,350.0,0.59,50,0.9,1
2,Burgers,350.0,0.59,10,0.4806,0
2,Burgers,350.0,0.59,40,0.834,1
